path,sha256,size
LICENSE.txt,4c8537fd5431aafcb0ab22c49cba68febb59dd3595210f6c6c3b9212de0a7b49,10364
LICENSE_AFL.txt,26c1e3310769e3c187267cb04ae51a22694964556f9a3002f222a0fa67f47cfd,10374
Model/Tax.php,f083ac57d0be0555b92ce0d4a3c5c71b05cdb965dae361767f1248631aa65942,7310
README.md,4b98ff9cb3a13ccc454cc6c0e771e2f29bcf5cac2c8893e3ef1a87a4486cdc30,62
Setup/InstallData.php,c84f3fab33a3dd1d5e952e6d718d3cc987c018060042fead8cdad1eecb2c6fb7,780
Setup/Installer.php,ced2861a0794adab96559c68e7379d56609435d6609c3d43a677d3511b48ff81,681
Test/Model/TaxTest.php,d8b1af57939cd496f68aa1f89e7c8c0868f6d9f9cf921cff9ada0a9429f748c3,14027
composer.json,40b3740b344bbed78e11defd0d0000858bb5bcee3d2c703d305fcde68aef74c1,502
etc/module.xml,6951e5fa157928b788c61bf9707dcc48b79f8b0717b75c4c1c7d8561b9ef3c99,495
fixtures/tax_rate.csv,68a3b44d209a220dc6820d19f6708aea1b4ba94a3f065a259a9546c653c55f1d,88
fixtures/tax_rule.csv,8590b3b681980d764bc2099b03fe605dea6d53b96505084e07d7bfb73209453b,118
registration.php,44b09d0b4d15105bd8374902e4544fb5a35735994a370246e5e03ec41b8914b7,262
