path,sha256,size
.gitignore,41bae5e7b237ab0598ade6b0b7db3cacfd609f0b4747c580f0c53004fbe51b73,7
COPYING.txt,37a06760eefb25732ff0196272c3da1c2caa56af0612dd9a76d600ebe1a979ef,631
README.md,fb7c39daf945973dda29d855f704b429f4512b507153320892c23d1d31a06723,108
cli_commands.php,4b983f496713b2cf0e7c8279de704247e18cfd418e423eb62b72eecfb2898d7b,232
composer.json,0b822dd3e00cc253198b5cc79dbb272275da71a229cf013f734440cf30296c55,421
patch.php,ab5fadf2880d8b54dc426aa860761403575828c32032641fdd11c4cd02c9469e,1573
patches/000-MAGETWO-57719-2.1.2.patch,b76a4a5c6343139eebb9b1d36b451c28357d01321b29ed745408790183c8a9b7,805
patches/MAGETWO-52660-scd-improvement.patch,a58afa8030744b6bad19f2925017cf9dc377de080ac5b22820742524e2fe2ba1,116098
patches/MAGETWO-57799.patch,e8b7d47dca7ef646ce22a97443a6b3754add813f323035c27761ceae575192b9,10420
patches/MDVA-915.patch,ab79b24f043e6cbf6ef1ba2d45153a8c2d5a0c0f23208e5d723184759b1f1258,1706
patches/change-vendor-path.patch,0bf9ed9c489efc6760b3c1888ee707667d03503e74568cc3ce595750928a17c2,1471
patches/fix-static-assets-controller.patch,df08cd54b2290958dacffc5ce80e00c90e03aafdb3c86cdad853107f805e0d39,2386
patches/remove-permission-checks.patch,f8fe89cdf0eadad512895e64056bb768201b714795ec520a683d7f872cf3638a,1802
patches/setup-area-plugins.patch,a1488f87d38772cd57721746e371c74915740478d450c94d41fba93785e125c1,1153
patches/setup-area.patch,e88d3534ceb0c0758b0d2798446823b07f1111bdcb0eddfda2bcd728d4656f5e,618
pre-deploy.php,abddde72d8e0d9aa71f18ecea5823e8023c4ee0e30e3cd5b11ebaa0b783fae5f,2247
src/Magento/MagentoCloud/Console/Command/Build.php,a424d0c4ceb778974ac006d998850aa47a08a3115f9c184e59fa5b63b2bd7b0d,4535
src/Magento/MagentoCloud/Console/Command/Deploy.php,1a8b7a65388931c82dc8cbb30f2c13a2f5ab363448f4d4cb110a55eef3c8eefa,26568
src/Magento/MagentoCloud/Console/CommandList.php,f6f444589efbcc61b024238f633fa9e5787c2393e3024f90e106549376704825,983
src/Magento/MagentoCloud/Environment.php,e9d78fba5483f3a6feae96480ed2adc1353cbff8a6df0b344267b5c63c82203c,1899
