path,sha256,size
.gitignore,41bae5e7b237ab0598ade6b0b7db3cacfd609f0b4747c580f0c53004fbe51b73,7
COPYING.txt,37a06760eefb25732ff0196272c3da1c2caa56af0612dd9a76d600ebe1a979ef,631
README.md,fb7c39daf945973dda29d855f704b429f4512b507153320892c23d1d31a06723,108
cli_commands.php,4b983f496713b2cf0e7c8279de704247e18cfd418e423eb62b72eecfb2898d7b,232
composer.json,46c3cf5c34687e47726918ea595e48f33b1d433b7faa2e9c6daa7071cdfde521,421
patch.php,ab5fadf2880d8b54dc426aa860761403575828c32032641fdd11c4cd02c9469e,1573
patches/MAGETWO-57799.patch,e8b7d47dca7ef646ce22a97443a6b3754add813f323035c27761ceae575192b9,10420
patches/change-vendor-path.patch,0bf9ed9c489efc6760b3c1888ee707667d03503e74568cc3ce595750928a17c2,1471
patches/fix-static-assets-controller.patch,df08cd54b2290958dacffc5ce80e00c90e03aafdb3c86cdad853107f805e0d39,2386
patches/remove-permission-checks.patch,f8fe89cdf0eadad512895e64056bb768201b714795ec520a683d7f872cf3638a,1802
patches/setup-area-plugins.patch,a1488f87d38772cd57721746e371c74915740478d450c94d41fba93785e125c1,1153
patches/setup-area.patch,e88d3534ceb0c0758b0d2798446823b07f1111bdcb0eddfda2bcd728d4656f5e,618
pre-deploy.php,abddde72d8e0d9aa71f18ecea5823e8023c4ee0e30e3cd5b11ebaa0b783fae5f,2247
src/Magento/MagentoCloud/Console/Command/Build.php,ca516c0b5d2550f068c353b9a0b968e5193359f3171a848ce1e5503413b225dd,4507
src/Magento/MagentoCloud/Console/Command/Deploy.php,01c64a57e9daf7332a859bd57ac47e47c21f4a77ec007e34333ed063fec8da8b,29205
src/Magento/MagentoCloud/Console/CommandList.php,e748e2e5e185abe035d6f436c92b3f9f7cee558295aaae051cc16431d99a98e2,984
src/Magento/MagentoCloud/Environment.php,ee93b4e558ca47b818d04210c82fa0b45bf413959b615c54127fe05aa46d21c2,1899
