path,sha256,size
Model/Resolver/Block/Identity.php,45424d71d0549b6cff8d8d035ff85c75dafcb53c248ef9dec89b50b042353a80,1170
Model/Resolver/Blocks.php,9d4c87537bdfb0332da5d9736d7fa4627cecec698fa8e43687487d57fccf69ea,2567
Model/Resolver/DataProvider/Block.php,9594372187a0c40427069238b9935aaafd524ff48e910f71dc65b882796390fc,1794
Model/Resolver/DataProvider/Page.php,e42cea379039a317ae5ff4a835df06e85f6c6d51c23a0e7d2a775d51894857ba,3047
Model/Resolver/Page.php,80c6b1d15fb67c443c46e0ed87be5e65238206ddf8aa50c5c2a3a812fbbb1595,2001
Model/Resolver/Page/Identity.php,f3d54b178379eedd2854d86f52b0bbc68b1b7275c4309aacb3f03dab5e08b3b3,826
README.md,59cf2185fc3cf839b8680827973526a26b69b62cb071996731b5c23c415530cd,132
composer.json,626b9a906e5e8dc824fbc8d4b7c38753fbebce96f3e0e3d4f27ddff583dbb1fc,707
etc/graphql/di.xml,6d992ac85b7050ecbed0d06f07a84a4345978ddaaad265af02d71f9e4f9cb135,1065
etc/module.xml,178bbc934ead789b2b66c8c8b1335c33c7aad254fd0377c21d69dc8967debad0,416
etc/schema.graphqls,4be039738d1844d1f64c286b062b47b799928c4ce0e986abb8afac842e00a8ec,2533
registration.php,f9f5e808a50b81885d7ae64bde590c753ecf4c89dd3314a589fc9ae5aa663515,273
