path,sha256,size
LICENSE.txt,16f1806a41699d2544d8c3f01fd7396e3a3e47c93e4f8dbf6bd1d215babca7b0,10364
LICENSE_AFL.txt,f1fd5fe50b59018e1f48171fb2323e88bfc22733d06e66044d3d0479cc5ec0d5,10376
Model/Provider/Product/UrlRewrites.php,c460c29fb975a27fd5b5002ef89b0d38c991f6d3aba30b44462cc0bdb6bf2045,5147
Model/Provider/Product/Urls.php,1543742101852d941f688a7baab48708f9fc02d7c7ace61847eeb90731dd992f,4132
Model/Query/ProductUrlQuery.php,bb30ec40e1dd99f870a85e192f2c6cb4480948d6dbcfed8b5470b98eaa4b694b,2504
Model/Query/ProductUrlRewritesQuery.php,b96228af319cbee8afcd52b88f76163377213e9de78240bca756a91419c549ed,2083
README.md,c17a2193bafcdfb0f9a76173b73565a5f49c14de18d34127ea0e79bb27515b8e,65
Test/Integration/ProductUrlsTest.php,2f0dc084bef3f528c4a67e0581458ee3895fd0a563fd75a57f3d762e5104e441,4191
Test/_files/setup_rewrites.php,0161c5d5c1e3680d4310e8094cf85841c4b78ea07a876cde1772bd270a89e073,878
Test/_files/setup_rewrites_rollback.php,d5cd33f7649d2f45e33114661a9efe8341687f2c058272a02288264d662e1ca1,1989
composer.json,680ddbeddd5b89c2144ee1dfebc14ac3058b08fca54c5cac980e27423da9c651,667
etc/et_schema.xml,8f147cb99cf78e063ef619f8f8fffc4b2f1b33f20ba06d196a62c9f06109dec1,1623
etc/module.xml,29f97601fefb79ac8da6f1e90e3d87629b6a3c655632307b7e7d7d62390d25a8,1053
i18n/en_US.csv,a26f2b2387e6f75490dd3f5ccb653cdb827c89b9d1bbd770b582576eac56fe10,76
registration.php,b87b2067de4e14f71f7daa69085107560b063bbcda487360b14c54c051e7c81c,728
